"",ADMISSION DATA 2019,,
"",End of Season,,
"","Level 6, 7",,
"","The details  given are for general information only and do not formpart of any contract. They are not intended for use in determiningwhether any individual applicant is or is not entitled to an offer of ahigher education place",,
*,Not all on this points score were offered places,,
"#",Test / Interview / Portfolio / Audition,,
AQA,All qualified applicants,,
"",,,
Course Code,INSTITUTION and COURSE,EOS,Mid
"",Athlone Institute of Technology,,
AL600,Software Design,205,306
AL601,Computer Engineering,196,272
AL602,Mechanical Engineering,258,424
AL604,Civil Engineering,252,360
AL630,Pharmacy Technician,306,366
AL631,Dental Nursing,326,379
AL632,Applied Science,243,372
AL650,Business,210,317
AL651,Music and Instrument Technology,AQA,296
AL660,Culinary Arts,AQA,216
AL661,Bar Supervision,AQA,216
AL663,Business (Sport and Recreation),AQA,270
AL701,ICT Engineering: Computer Eng/Network Mgmnt/Electronic Comms,235,310
AL704,Computer Engineering,205,307
AL705,Software Design with Mobile Apps and Connected Devices,206,321
AL710,Mechanical Engineering,242,337
AL711,Mechanical Engineering and Renewable Energy,231,310
AL712,Mechatronics,269,364
AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng,245,371
AL721,Civil Engineering,217,368
AL730,Biotechnology,232,382
AL731,Veterinary Nursing,393,451
AL734,Pharmaceutical Sciences (Drug Development and Analysis),225,389
AL740,Exercise and Health Science,241,348
AL751,Digital Marketing,226,336
AL752,Business,232,387
AL761,Hotel and Leisure Management,200,304
AL763,Graphic Design (portfolio),"#626",820
AL764,Early Years Care and Education,270,387
AL765,Applied Social Studies in Social Care,281,346
"","Institute of Technology, Carlow",,
CW006,Business (Wexford),153,270
CW017,Applied Social Studies - Professional Social Care (Wexford),224,289
CW027,Sustainable Farm Management and Agribusiness (Wexford),226,302
CW037,"Business (options, Wexford)",349,387
CW047,Visual Communications and Design (Wexford),198,311
CW057,"Art (portfolio, Wexford)","#700",700
CW077,Tourism and Event Management (Wexford),204,259
CW106,Physiology and Health Science,454,499
CW107,Analytical Science,215,316
CW116,Pharmacy Technician Studies,241,351
CW117,Biosciences,205,351
CW126,Science - Applied Biology or Applied Chemistry,198,380
CW206,Computing - Applications or Programming,206,337
CW207,Software Development,235,300
CW217,Information Technology Management,234,311
CW227,Cybercrime and IT Security,233,317
CW237,Computing in Interactive Digital Art and Design,216,321
CW407,Architectural Technology,186,298
CW417,Construction Management with Building Services,215,311
CW427,Civil Engineering,201,298
CW507,Aircraft Systems,285,358
CW517,Mechanical Engineering,252,336
CW527,Electronic Engineering,225,338
CW547,TV and Media Production,306,370
CW706,Legal Studies,196,331
CW707,Industrial Design,199,313
CW717,Applied Social Studies - Professional Social Care,260,308
CW807,Sport Coaching and Business Management - GAA (portfolio),"#700",700
CW817,Sport Coaching and Business Management - Rugby (portfolio),"#700",700
CW827,Sport Coaching and Business Management - Soccer (portfolio),"#700",700
CW837,Digital Marketing with Analytics,240,308
CW906,Business,173,288
CW917,Business (options),200,317
CW926,Business with Law,204,368
CW927,Business Administration,205,367
CW936,Accounting,204,414
"","Carlow College, St. Patrick`s",,
PC402,Arts and Humanities,126,328
PC404,Applied Social Studies - Professional Social Care,AQA,245
"",Cork Institute of Technology,,
CR001,Applied Physics and Instrumentation,258,488
CR006,Applied Biosciences,380,467
CR007,Analytical and Pharmaceutical Chemistry,246,455
CR010,Agriculture (Year 1 - 4 days in Clonakilty Agri College & 1 day in CIT),270,368
CR016,Software Development,270,393
CR021,Business (Common Entry),250,397
CR022,Business Administration,206,262
CR031,Social Care,326,389
CR032,Recreation and Leisure Management,250,349
CR035,Community Development,162,271
CR041,Tourism Management,180,318
CR042,Hospitality Management,101,307
CR046,Automotive Technology and Management,214,263
CR051,Civil Engineering,244,403
CR052,Construction,232,311
CR053,Interior Architecture,253,367
CR055,Environmental Engineering,255,424
CR061,Electronic Engineering,308,520
CR062,Electrical Engineering,279,356
CR071,Mechanical Engineering,250,410
CR075,Biomedical Engineering,350,490
CR090,Architectural Technology,251,419
CR094,Nautical Science at National Maritime College of Ireland,237,377
CR095,Marine Engineering at National Maritime College of Ireland,224,339
CR300,Physical Sciences (Common Entry),270,509
CR620,Early Childhood Education and Care,337,419
CR640,Culinary Arts,125,309
CR650,Beverage Industry Management,182,300
CR655,Culinary Studies,116,281
CR657,Hospitality Studies,162,236
CR805,Marine Electrotechnology at National Maritime College of Ireland,217,328
CR888,Information Technology,271,356
"",CCT College Dublin,,
CT110,Computing in Information Technology,171,413
CT116,Information Technology,178,365
CT316,Business,180,269
"",Dorset College,,
DS602,Computing and Multimedia,225,233
DS603,Computing and Multimedia,341,370
DS701,Business,AQA,
DS702,Computing and Multimedia,102,365
"",Dublin Business School,,
DB513,Business,117,280
DB522,Business in Accounting,112,454
DB528,Applied Social Care,AQA,307
DB533,Business in Marketing,112,223
DB534,Sound Engineering and Music Production,179,309
DB563,Arts,128,318
DB571,Business Studies,134,371
DB572,Business in Accounting,AQA,403
DB573,Business in Marketing,127,291
DB574,Business in Information Technology,AQA,367
DB575,Social Studies,120,346
DB576,Film and Media,100,318
DB580,Legal Studies,108,318
DB581,Legal and Business Studies,156,391
DB582,Legal Studies,108,290
DB583,Legal and Business Studies,190,431
"",Technological University Dublin City Campus,,
DT002,Engineering Reliability Management,234,357
DT003,Automation Engineering,270,335
DT004,Civil Engineering,243,322
DT005,Building Engineering,260,317
DT006,Mechanical Engineering,301,393
DT007,Automotive Management and Technology,240,313
DT008,Electronics and Communications Engineering,241,367
