,COURSE TITLE
0,International Business
1,Liberal Arts
2,"First Year Art & Design (Common Entry,portfolio)"
3,Graphic Design and Moving Image Design (portfolio)
4,Textile & Surface Design and Jewellery & Objects (portfolio)
5,"Education & Design or Fine Art (Second Level Teaching,portfolio))"
6,Fine Art (portfolio)
7,Fashion Design (portfolio)
8,Product Design (portfolio)
9,Visual Culture
10,Illustration (portfolio)
11,Interaction Design (portfolio)
12,Software Design
13,Computer Engineering
14,Mechanical Engineering
15,Civil Engineering
16,Music and Instrument Technology
17,Pharmacy Technician
18,Dental Nursing
19,Applied Science
20,Business
21,Culinary Arts
22,Bar Supervision
23,Business (Sport and Recreation)
24,Computer Engineering with Network Infrastructure
25,Software Design with Artificial Intelligence for Cloud Computing
26,Software Design with Virtual Reality and Gaming
27,Computer Engineering
28,Software Design with Mobile Apps and Connected Devices
29,Mechanical Engineering
30,Mechanical Engineering and Renewable Energy
31,Automation and Robotics
32,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng)
33,Music and Sound Engineering
34,Civil Engineering
35,Biotechnology
36,Veterinary Nursing
37,Pharmaceutical Sciences (Drug Development and Analysis)
38,Exercise and Health Science
39,Digital Marketing
40,Business
41,Hotel and Leisure Management
42,Graphic Design (portfolio)
43,Early Years Care and Education
44,Applied Social Studies in Social Care
45,Software Design with Virtual Reality and Gaming
46,Software Design with Artificial Intelligence for Cloud Computing
47,Software Design with Mobile Apps and Connected Devices
48,Computer Engineering with Network Infrastructure
49,Quantity Surveying
50,Civil Engineering
51,Mechanical and Polymer Engineering
52,General Nursing
53,Psychiatric Nursing
54,Nutrition and Health Science
55,Sports Science with Exercise Physiology
56,Biotechnology
57,Microbiology
58,Pharmaceutical Sciences
59,Athletic and Rehabilitation Therapy
60,Bioveterinary Science
61,Physical Activity and Health Science
62,Business
63,Business and Law
64,Accounting
65,Sport Management (with international placement)
66,Hospitality Management (with international placement)
67,Digital Marketing
68,Social Care Practice
69,Animation and Illustration (portfolio)
70,Graphic and Digital Design (portfolio)
71,Early Years Care and Education
72,Applied Psychology
73,"Education, Home Economics and Biology - with concurrent Teacher Ed"
74,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed"
75,"Education, Home Economics and Irish - with concurrent Teacher Ed"
76,"Nutrition, Food and Business Management"
77,Home Economics
78,General Nursing
79,Intellectual Disability Nursing
80,Counselling Skills and Psychotherapy Studies
81,Counselling Skills and Addiction Studies
82,Counselling Skills and Youth Studies
83,Counselling and Psychotherapy
84,Counselling and Addiction Studies
85,Counselling and Youth Studies
86,Arts - 3 years
87,Social Science
88,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway)
89,Film and Screen Media - 3 years or 4 years (International Pathway)
90,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway)
91,Arts International - 4 years
92,English - 3 years or 4 years (International Pathway)
93,World Languages
94,Early Years and Childhood Studies
95,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway)
96,Criminology - 3 years or 4 years (International Pathway)
97,Social Science (Youth and Community Work) - 3 years
98,Social Work - Mature Applicants only
99,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway)
100,Applied Psychology
101,Psychology and Computing - 3 or 4 years (Work Experience Pathway)
102,Government and Political Science
103,Anthropology
104,Education - Gaeilge
105,Sports Studies and Physical Education
106,Commerce
107,Accounting
108,Business Information Systems
109,Finance
110,Commerce (International) with French
111,Commerce (International) with German
112,Commerce (International) with Italian
113,Commerce (International) with Hispanic Studies
114,Commerce (International) with Irish
115,Commerce (International) with Chinese Studies
116,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway
