,COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL
0,AC120,International Business,209,,280,209,,,,8
1,AC137,Liberal Arts,252,,270,252,,,,8
2,AD101,"First Year Art & Design (Common Entry,portfolio)",#+matric,,#+matric,#+matric,,,,8
3,AD102,Graphic Design and Moving Image Design (portfolio),#+matric,,#+matric,#+matric,,,,8
4,AD103,Textile & Surface Design and Jewellery & Objects (portfolio),#+matric,,#+matric,#+matric,,,,8
5,AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",#+matric,,#+matric,#+matric,,,,8
6,AD204,Fine Art (portfolio),#+matric,,#+matric,#+matric,,,,8
7,AD211,Fashion Design (portfolio),#+matric,,#+matric,#+matric,,,,8
8,AD212,Product Design (portfolio),#+matric,,#+matric,#+matric,,,,8
9,AD215,Visual Culture,320,,389,377,,320,,8
10,AD217,Illustration (portfolio),#+matric,,#+matric,#+matric,,,,8
11,AD222,Interaction Design (portfolio),#+matric,,#+matric,#+matric,,,,8
12,AL600,Software Design,104,,279,AQA,,,,6
13,AL601,Computer Engineering,112,,192,AQA,,219,,6
14,AL602,Mechanical Engineering,260,,424,AQA,,,,6
15,AL604,Civil Engineering,AQA,,244,AQA,,AQA,,6
16,AL605,Music and Instrument Technology,154,,306,AQA,,AQA,,6
17,AL630,Pharmacy Technician,295,,379,295,,,,6
18,AL631,Dental Nursing,298,,388,300,,298,,6
19,AL632,Applied Science,234,,434,234,,,,6
20,AL650,Business,207,,326,207,,,,6
21,AL660,Culinary Arts,112,,270,AQA,,AQA,,6
22,AL661,Bar Supervision,101,,241,AQA,,AQA,,6
23,AL663,Business (Sport and Recreation),120,,262,AQA,,AQA,,6
24,AL701,Computer Engineering with Network Infrastructure,216,,337,216,,,,7
25,AL702,Software Design with Artificial Intelligence for Cloud Computing,214,,338,214,,,,7
26,AL703,Software Design with Virtual Reality and Gaming,224,,337,216,,,,7
27,AL704,Computer Engineering,204,,403,204,,,,7
28,AL705,Software Design with Mobile Apps and Connected Devices,216,,337,216,,,,7
29,AL710,Mechanical Engineering,223,,337,223,,,,7
30,AL711,Mechanical Engineering and Renewable Energy,228,,369,228,,,,7
31,AL712,Automation and Robotics,252,,379,252,,,,7
32,AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),218,,402,218,,,,7
33,AL718,Music and Sound Engineering,216,,339,214,,,,7
34,AL721,Civil Engineering,233,,357,233,,,,7
35,AL730,Biotechnology,250,,402,250,,,,7
36,AL731,Veterinary Nursing,400,,456,400,,,,7
37,AL734,Pharmaceutical Sciences (Drug Development and Analysis),244,,359,244,,,,7
38,AL740,Exercise and Health Science,250,,367,250,,,,7
