COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL,New,2020 EOS Portfolio
AC120,International Business,209,False,280,209,False,,False,8,209,
AC137,Liberal Arts,252,False,270,252,False,,False,8,252,
AD101,"First Year Art & Design (Common Entry,portfolio)",#+matric,False,#+matric,#+matric,False,,False,8,,#
AD102,Graphic Design and Moving Image Design (portfolio),#+matric,False,#+matric,#+matric,False,,False,8,,#
AD103,Textile & Surface Design and Jewellery & Objects (portfolio),#+matric,False,#+matric,#+matric,False,,False,8,,#
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",#+matric,False,#+matric,#+matric,False,,False,8,,#
AD204,Fine Art (portfolio),#+matric,False,#+matric,#+matric,False,,False,8,,#
AD211,Fashion Design (portfolio),#+matric,False,#+matric,#+matric,False,,False,8,,#
AD212,Product Design (portfolio),#+matric,False,#+matric,#+matric,False,,False,8,,#
AD215,Visual Culture,320,False,389,377,False,320,False,8,320,
AD217,Illustration (portfolio),#+matric,False,#+matric,#+matric,False,,False,8,,#
AD222,Interaction Design (portfolio),#+matric,False,#+matric,#+matric,False,,False,8,,#
AL600,Software Design,104,False,279,AQA,False,,False,6/7,104,
AL601,Computer Engineering,112,False,192,AQA,False,219,False,6/7,112,
AL602,Mechanical Engineering,260,False,424,AQA,False,,False,6/7,260,
AL604,Civil Engineering,AQA,False,244,AQA,False,AQA,False,6/7,,
AL605,Music and Instrument Technology,154,False,306,AQA,False,AQA,False,6/7,154,
AL630,Pharmacy Technician,295,False,379,295,False,,False,6/7,295,
AL631,Dental Nursing,298,False,388,300,False,298,False,6/7,298,
AL632,Applied Science,234,False,434,234,False,,False,6/7,234,
AL650,Business,207,False,326,207,False,,False,6/7,207,
AL660,Culinary Arts,112,False,270,AQA,False,AQA,False,6/7,112,
AL661,Bar Supervision,101,False,241,AQA,False,AQA,False,6/7,101,
AL663,Business (Sport and Recreation),120,False,262,AQA,False,AQA,False,6/7,120,
AL701,Computer Engineering with Network Infrastructure,216,False,337,216,False,,False,6/7,216,
AL702,Software Design with Artificial Intelligence for Cloud Computing,214,False,338,214,False,,False,6/7,214,
AL703,Software Design with Virtual Reality and Gaming,224,False,337,216,False,,False,6/7,224,
AL704,Computer Engineering,204,False,403,204,False,,False,6/7,204,
AL705,Software Design with Mobile Apps and Connected Devices,216,False,337,216,False,,False,6/7,216,
AL710,Mechanical Engineering,223,False,337,223,False,,False,6/7,223,
AL711,Mechanical Engineering and Renewable Energy,228,False,369,228,False,,False,6/7,228,
AL712,Automation and Robotics,252,False,379,252,False,,False,6/7,252,
AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),218,False,402,218,False,,False,6/7,218,
AL718,Music and Sound Engineering,216,False,339,214,False,,False,6/7,216,
AL721,Civil Engineering,233,False,357,233,False,,False,6/7,233,
AL730,Biotechnology,250,False,402,250,False,,False,6/7,250,
AL731,Veterinary Nursing,400,False,456,400,False,,False,6/7,400,
AL734,Pharmaceutical Sciences (Drug Development and Analysis),244,False,359,244,False,,False,6/7,244,
AL740,Exercise and Health Science,250,False,367,250,False,,False,6/7,250,
AL751,Digital Marketing,241,False,318,241,False,,False,6/7,241,
AL752,Business,225,False,397,225,False,,False,6/7,225,
AL761,Hotel and Leisure Management,208,False,309,208,False,,False,6/7,208,
AL763,Graphic Design (portfolio),781,False,858,781,False,,False,6/7,781,
AL764,Early Years Care and Education,260,False,398,260,False,,False,6/7,260,
AL765,Applied Social Studies in Social Care,280,False,358,280,False,,False,6/7,280,
AL801,Software Design with Virtual Reality and Gaming,303,False,367,303,False,,False,8,303,
AL802,Software Design with Artificial Intelligence for Cloud Computing,332,False,382,332,False,,False,8,332,
AL803,Software Design with Mobile Apps and Connected Devices,337,False,360,337,False,,False,8,337,
AL805,Computer Engineering with Network Infrastructure,333,False,360,333,False,,False,8,333,
AL810,Quantity Surveying,326,False,352,319,False,,False,8,326,
AL811,Civil Engineering,320,False,432,320,False,,False,8,320,
AL820,Mechanical and Polymer Engineering,308,False,379,308,False,,False,8,308,
AL830,General Nursing,442,False,463,442,False,,False,8,442,
AL832,Psychiatric Nursing,384,False,399,387,True,384,False,8,384,
AL836,Nutrition and Health Science,334,False,379,334,False,,False,8,334,
AL837,Sports Science with Exercise Physiology,351,False,384,351,False,,False,8,351,
AL838,Biotechnology,307,False,356,307,False,,False,8,307,
AL839,Microbiology,325,False,393,325,False,,False,8,325,
AL840,Pharmaceutical Sciences,347,False,403,347,False,,False,8,347,
AL841,Athletic and Rehabilitation Therapy,430,False,465,430,False,,False,8,430,
AL842,Bioveterinary Science,313,False,383,313,False,,False,8,313,
AL843,Physical Activity and Health Science,306,False,326,306,False,,False,8,306,
AL850,Business,309,False,377,309,False,,False,8,309,
AL851,Business and Law,295,False,351,295,False,,False,8,295,
AL852,Accounting,309,False,422,309,False,,False,8,309,
AL854,Sport Management (with international placement),299,False,338,302,False,299,False,8,299,
AL855,Hospitality Management (with international placement),308,False,347,308,False,,False,8,308,
AL857,Digital Marketing,304,False,332,304,False,,False,8,304,
AL860,Social Care Practice,300,False,348,300,False,,False,8,300,
AL861,Animation and Illustration (portfolio),578,False,878,578,False,,False,8,578,
AL863,Graphic and Digital Design (portfolio),781,False,824,781,False,,False,8,781,
AL864,Early Years Care and Education,307,False,346,307,False,,False,8,307,
AL870,Applied Psychology,418,False,444,418,False,,False,8,418,
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",518,False,544,510,False,,False,8,518,
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",434,True,466,441,True,434,True,8,434,
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440,False,484,440,True,440,False,8,440,
AS051,"Nutrition, Food and Business Management",317,False,398,328,False,317,False,8,317,
AS054,Home Economics,398,False,429,408,False,398,False,8,398,
AS110,General Nursing,419,True,431,419,True,,False,8,419,
AS130,Intellectual Disability Nursing,317,False,339,336,True,328,False,8,317,
CI001,Counselling Skills and Psychotherapy Studies,300,False,440,300,False,,False,6/7,300,
CI002,Counselling Skills and Addiction Studies,309,False,367,309,False,,False,6/7,309,
CI005,Counselling Skills and Youth Studies,302,False,451,306,False,302,False,6/7,302,
CI110,Counselling and Psychotherapy,310,False,392,310,False,,False,8,310,
CI111,Counselling and Addiction Studies,301,False,319,301,False,,False,8,301,
CI112,Counselling and Youth Studies,311,False,311,311,False,,False,8,311,
CK101,Arts - 3 years,300,False,388,300,False,,False,8,300,
CK102,Social Science,412,False,451,412,False,,False,8,412,
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302,False,435,302,False,,False,8,302,
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),319,False,418,368,False,337,False,8,319,
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328,False,388,328,False,,False,8,328,
CK108,Arts International - 4 years,401,False,466,401,False,,False,8,401,
CK109,English - 3 years or 4 years (International Pathway),318,False,441,318,False,,False,8,318,
CK110,World Languages,410,False,506,452,False,433,False,8,410,
CK111,Early Years and Childhood Studies,419,False,451,419,False,,False,8,419,
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330,False,434,330,False,,False,8,330,
CK113,Criminology - 3 years or 4 years (International Pathway),423,False,463,423,False,,False,8,423,
CK114,Social Science (Youth and Community Work) - 3 years,777,False,,,False,,False,8,777,
CK115,Social Work - Mature Applicants only,999,False,,,False,,False,8,999,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336,False,378,336,False,,False,8,336,
CK120,Applied Psychology,531,True,555,533,True,532,True,8,531,
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466,False,496,466,False,,False,8,466,
CK122,Government and Political Science,326,False,403,337,False,328,False,8,326,
CK123,Anthropology,308,False,410,308,False,,False,8,308,
CK124,Education - Gaeilge,452,True,495,463,False,462,False,8,452,
CK125,Sports Studies and Physical Education,509,True,532,510,True,509,True,8,509,
CK201,Commerce,477,True,509,477,True,,False,8,477,
CK202,Accounting,509,False,542,509,False,,False,8,509,
CK203,Business Information Systems,430,False,467,430,False,,False,8,430,
CK204,Finance,556,False,590,556,False,,False,8,556,
CK205,Commerce (International) with French,445,False,495,445,False,,False,8,445,
CK206,Commerce (International) with German,418,False,476,420,False,418,False,8,418,
CK207,Commerce (International) with Italian,388,False,455,388,False,,False,8,388,
CK208,Commerce (International) with Hispanic Studies,402,False,484,402,False,,False,8,402,
CK209,Commerce (International) with Irish,484,False,531,484,False,,False,8,484,
CK211,Commerce (International) with Chinese Studies,397,False,433,397,False,,False,8,397,
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444,False,473,444,False,,False,8,444,
CK213,Food Marketing and Entrepreneurship,462,False,476,462,False,,False,8,462,
CK214,International Development,346,False,422,346,False,,False,8,346,
CK301,Law (Pathways) -  3 or 4 years,498,True,531,507,False,499,False,8,498,
CK302,Law and French,542,False,576,542,False,,False,8,542,
CK304,Law and Irish,540,False,565,540,False,,False,8,540,
CK307,Law and Business,556,False,589,556,False,,False,8,556,
CK401,Computer Science,468,False,509,468,False,,False,8,468,
CK402,Biological and Chemical Sciences,509,False,532,510,True,509,True,8,509,
CK404,"Biological, Earth and Environmental Sciences",465,False,498,467,False,,False,8,465,
